area,ap_ratio,avg_temp,avg_humidity,production,max_temp,min_temp,max_relative_humidity,min_relative_humidity,growth_jan,growth_feb,growth_mar,growth_apr,growth_may,growth_jun,growth_jul,growth_aug,growth_sep,growth_oct,growth_nov,growth_dec,harvest_jan,harvest_feb,harvest_mar,harvest_apr,harvest_may,harvest_jun,harvest_jul,harvest_aug,harvest_sep,harvest_oct,harvest_nov,harvest_dec,transplant_month,crop_name_enc,season_enc,district_enc
177321,1.1750505284781816,26.0,72.5,150905,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,0
25646,0.8505007627512104,26.0,72.5,30154,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,1
231401,1.2977091102823655,26.0,72.5,178315,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,2
302665,1.3208218233551094,26.0,72.5,229149,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,3
388575,0.9085520685736732,26.0,72.5,427686,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,4
443007,0.8385916426103829,26.0,72.5,528275,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,5
174588,0.9855766245349802,26.0,72.5,177143,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,6
90004,1.2813234058909784,26.0,72.5,70243,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,7
140665,0.8871125405984928,26.0,72.5,158565,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,8
444857,1.0224952306525388,26.0,72.5,435070,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,9
85718,0.9118451146215627,26.0,72.5,94005,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,10
181306,0.9005637650565007,26.0,72.5,201325,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,11
327517,1.0993270118318368,26.0,72.5,297925,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,12
18702,1.0360070906270773,26.0,72.5,18052,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,13
645472,0.9268536441072239,26.0,72.5,696412,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,14
191856,0.9613757992423483,26.0,72.5,199564,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,15
163129,0.8318409431633912,26.0,72.5,196106,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,16
293991,0.8875816283092863,26.0,72.5,331227,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,17
112432,0.8432357838210809,26.0,72.5,133334,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,18
59993,1.3298973642792224,26.0,72.5,45111,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,19
245464,0.9392623317785083,26.0,72.5,261337,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,20
265787,1.0487673027447637,26.0,72.5,253428,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,21
338887,0.8718740995348454,26.0,72.5,388688,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,22
116665,1.2586850509235283,26.0,72.5,92688,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,23
252930,0.7301779760100463,26.0,72.5,346395,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,24
170726,0.8787897505584895,26.0,72.5,194274,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,25
66694,0.7666505736027772,26.0,72.5,86994,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,26
237461,0.8921001420080997,26.0,72.5,266182,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,27
186328,0.8633170858276035,26.0,72.5,215828,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,28
283509,0.9073855962310288,26.0,72.5,312446,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,29
225972,0.833073426457414,26.0,72.5,271251,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,30
185213,0.9494304842165698,26.0,72.5,195078,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,31
189950,0.8762986473768707,26.0,72.5,216764,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,32
40746,1.2043627335067393,26.0,72.5,33832,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,33
143430,0.9410491093396319,26.0,72.5,152415,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,34
19457,1.0871654467229144,26.0,72.5,17897,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,35
82524,0.7817363709562829,26.0,72.5,105565,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,36
251081,0.8470104442165488,26.0,72.5,296432,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,37
41822,2.5419072509572724,26.0,72.5,16453,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,38
663734,1.0296994989062815,26.0,72.5,644590,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,39
468054,0.9239014145114745,26.0,72.5,506606,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,40
85229,0.9362429009260378,26.0,72.5,91033,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,41
19756,1.8240236358600315,26.0,72.5,10831,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,42
97752,0.9621733353019342,26.0,72.5,101595,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,43
182696,0.8933047130556384,26.0,72.5,204517,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,44
301949,0.9165412027537305,26.0,72.5,329444,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,45
279580,0.9063265861849868,26.0,72.5,308476,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,46
382971,0.9674698369070956,26.0,72.5,395848,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,47
221929,1.1535730622089155,26.0,72.5,192384,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,48
246162,0.8022147412604732,26.0,72.5,306853,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,49
431833,1.3344983806769017,26.0,72.5,323592,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,50
155038,1.5505660679281514,26.0,72.5,99988,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,51
117377,1.0944548565461039,26.0,72.5,107247,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,52
182555,0.785020726903693,26.0,72.5,232548,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,53
23990,0.8339996523552929,26.0,72.5,28765,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,54
405055,0.9154902519177481,26.0,72.5,442446,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,55
207744,0.9021600354360457,26.0,72.5,230274,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,56
32898,1.425513476037785,26.0,72.5,23078,40,12.0,60,85,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,1,57
